abandon,放棄
ability,能力
abnormal,不正常的
abolish,廢除
abrupt,突然的
absence,缺席
absorb,吸收
abstract,抽象的
abundant,豐富的
abuse,濫用
accelerate,加速
accessible,可進入的
accidental,意外的
acclaim,稱讚
accommodate,容納
accompany,陪伴
accomplish,完成
accord,協議
account,帳戶
accumulate,累積
accurate,準確的
accuse,指控
accustom,使習慣
achievement,成就
acid,酸
acknowledge,承認
acquire,獲得
adapt,適應
addict,使上癮
additional,額外的
address,地址
adequate,足夠的
adhere,堅持
adjacent,鄰近的
adjust,調整
administer,管理
adolescent,青少年
adopt,採用
advance,前進
adverse,不利的
advocacy,擁護
aerial,空中的
aesthetic,美學的
affection,情感
affiliate,附屬機構
affluence,富裕
afford,負擔得起
agency,代理機構
agenda,議程
agent,代理人
aggravate,加重
aggregate,合計
aggressive,侵略性的
agitate,煽動
agriculture,農業
aid,幫助
ailment,疾病
aim,目標
airline,航空公司
aisle,走道
alarm,警報
alert,警覺的
alien,外星人
align,排列
alike,相似的
alive,活著的
allegation,指控
alleviate,減輕
allocate,分配
allow,允許
alloy,合金
ally,盟友
alter,改變
alternate,交替的
alternative,替代的
altitude,海拔
amateur,業餘的
amaze,使驚訝
ambiguous,模稜兩可的
ambition,野心
ambulance,救護車
amend,修正
amount,數量
ample,充足的
amplify,放大
amuse,使娛樂
analogous,類似的
analysis,分析
anchor,錨
ancient,古代的
angle,角度
animated,動畫的
annex,附件
anniversary,週年紀念
announce,宣布
annual,年度的
anomaly,異常
anonymous,匿名的
answer,回答
antarctic,南極的
antelope,羚羊
anticipate,預期
antique,古董
anxiety,焦慮
apologize,道歉
apparatus,儀器
appeal,吸引力
appear,出現
appetite,食慾
applaud,鼓掌
apply,申請
appoint,任命
appreciate,欣賞
approach,接近
appropriate,適當的
approve,批准
approximate,大約的
apt,適當的
aquatic,水生的
arbitrary,任意的
arch,拱門
architect,建築師
area,區域
argue,爭論
arid,乾燥的
arise,發生
arithmetic,算術
arm,手臂
army,軍隊
aroma,香氣
arrange,安排
array,陣列
arrest,逮捕
arrive,到達
arrow,箭
art,藝術
artery,動脈
article,文章
artificial,人造的
artist,藝術家
ascend,上升
ascertain,確定
ascribe,歸因於
aspect,方面
aspire,渴望
assault,攻擊
assemble,組裝
assert,斷言
assess,評估
asset,資產
assign,分配
assist,幫助
associate,聯想
assume,假設
assure,保證
asteroid,小行星
astonish,使驚訝
astronaut,太空人
astronomy,天文學
athlete,運動員
atmosphere,大氣層
atom,原子
attach,附加
attack,攻擊
attain,達到
attempt,嘗試
attend,參加
attention,注意
attitude,態度
attract,吸引
attribute,屬性
auction,拍賣
audience,觀眾
audio,音頻
audit,審計
auditorium,禮堂
augment,增加
author,作者
authority,權威
authorize,授權
auto,汽車
automatic,自動的
automobile,汽車
autonomous,自治的
avail,利用
available,可用的
avalanche,雪崩
avenue,大道
average,平均
avert,避免
aviation,航空
avoid,避免
await,等待
award,獎品
aware,意識到的
awe,敬畏
awesome,極好的
awful,糟糕的
awkward,尷尬的
axis,軸
bachelor,單身漢
backdrop,背景
background,背景
bacteria,細菌
badge,徽章
badminton,羽毛球
baffle,使困惑
baggage,行李
bail,保釋
bait,誘餌
balance,平衡
balcony,陽台
bald,禿頭的
bale,大包
ball,球
ballet,芭蕾舞
balloon,氣球
ballot,選票
ban,禁止
band,樂隊
bandage,繃帶
bang,重擊
bank,銀行
bankrupt,破產的
banner,橫幅
banquet,宴會
bar,酒吧
barbecue,燒烤
barber,理髮師
bare,赤裸的
bargain,討價還價
bark,吠叫
barn,穀倉
barometer,氣壓計
baron,男爵
barrel,桶
barren,貧瘠的
barrier,障礙物
base,基地
baseball,棒球
basement,地下室
basic,基本的
basin,盆地
basis,基礎
basket,籃子
basketball,籃球
bat,蝙蝠
bath,洗澡
bathe,沐浴
bathroom,浴室
battery,電池
battle,戰鬥
bay,海灣
bazaar,市集
be,是
beach,海灘
beacon,燈塔
bead,珠子
beak,鳥嘴
beam,光束
bean,豆
bear,熊
beard,鬍鬚
bearing,軸承
beast,野獸
beat,打敗
beautiful,美麗的
beauty,美
beckon,招手
become,變成
bed,床
bedroom,臥室
bee,蜜蜂
beef,牛肉
beer,啤酒
beetle,甲蟲
before,在...之前
beg,乞求
begin,開始
behalf,代表
behave,表現
behavior,行為
behind,在...後面
being,存在
belief,信仰
believe,相信
bell,鈴
belly,肚子
belong,屬於
beloved,親愛的
below,在...下面
belt,腰帶
bench,長凳
bend,彎曲
beneath,在...之下
beneficial,有益的
benefit,利益
benign,良性的
bent,彎曲的
berry,漿果
beside,在...旁邊
besides,此外
best,最好的
bestow,給予
bet,打賭
betray,背叛
better,更好的
between,在...之間
beverage,飲料
beware,小心
bewilder,使困惑
beyond,超過
bias,偏見
bible,聖經
bibliography,參考書目
bicycle,自行車
bid,出價
big,大的
bill,帳單
billion,十億
bind,綁
biography,傳記
biological,生物學的
biology,生物學
bird,鳥
birth,出生
birthday,生日
biscuit,餅乾
bishop,主教
bit,一點
bite,咬
bitter,苦的
bizarre,奇怪的
black,黑色
blackboard,黑板
blade,刀片
blame,責怪
bland,平淡的
blank,空白的
blanket,毯子
blast,爆炸
blaze,火焰
bleach,漂白
bleed,流血
blend,混合
bless,祝福
blind,瞎的
block,塊
blood,血
bloom,開花
blossom,花
blouse,女襯衫
blow,吹
blue,藍色
blueprint,藍圖
bluff,虛張聲勢
blunder,大錯
blunt,鈍的
blur,模糊
board,板
boast,誇耀
boat,船
body,身體
boil,煮沸
bold,大膽的
bolt,螺栓
bomb,炸彈
bond,結合
bone,骨頭
bonus,獎金
book,書
boom,繁榮
boost,促進
boot,靴子
booth,攤位
border,邊界
bore,使厭煩
born,出生
borrow,借
boss,老闆
botany,植物學
bother,打擾
bottle,瓶子
bottom,底部
bounce,彈跳
bound,跳躍
boundary,邊界
bow,弓
bowel,腸
bowl,碗
bowling,保齡球
box,盒子
boy,男孩
boycott,抵制
brace,支撐
bracket,括號
brain,大腦
brake,剎車
branch,分支
brand,品牌
brandy,白蘭地
brass,黃銅
brave,勇敢的
bread,麵包
breadth,寬度
break,打破
breakfast,早餐
breakthrough,突破
breast,胸部
breath,呼吸
breathe,呼吸
breed,繁殖
breeze,微風
brew,釀造
bribe,賄賂
brick,磚
bride,新娘
bridge,橋
brief,簡短的
briefcase,公文包
bright,明亮的
brilliant,燦爛的
brim,邊緣
bring,帶來
brisk,輕快的
bristle,剛毛
brittle,易碎的
broad,寬的
broadcast,廣播
brochure,小冊子
bronze,青銅
brood,一窩
brook,小溪
broom,掃帚
brother,兄弟
brow,額頭
brown,棕色
browse,瀏覽
bruise,瘀傷
brush,刷子
brutal,殘忍的
bubble,氣泡
bucket,桶
buckle,扣
bud,芽
budget,預算
buffalo,水牛
buffer,緩衝
buffet,自助餐
bug,蟲
build,建造
building,建築物
bulb,燈泡
bulk,體積
bull,公牛
bullet,子彈
bulletin,公告
bully,欺負
bump,撞擊
bunch,串
bundle,束
burden,負擔
bureau,局
bureaucracy,官僚主義
burglar,竊賊
burial,葬禮
burn,燃燒
burst,爆裂
bury,埋葬
bus,公車
bush,灌木
business,生意
busy,忙碌的
but,但是
butcher,屠夫
butter,奶油
butterfly,蝴蝶
button,按鈕
buy,買
buzz,嗡嗡聲
by,被
bypass,繞過
cabbage,捲心菜
cabin,小屋
cabinet,櫥櫃
cable,電纜
cafe,咖啡館
cafeteria,自助餐廳
cage,籠子
cake,蛋糕
calamity,災難
calculate,計算
calendar,日曆
call,打電話
calm,冷靜的
calorie,卡路里
camel,駱駝
camera,相機
camp,營地
campaign,活動
campus,校園
can,可以
canal,運河
cancel,取消
cancer,癌症
candidate,候選人
candle,蠟燭
candy,糖果
cane,手杖
cannon,大砲
canoe,獨木舟
canteen,食堂
canvas,帆布
canyon,峽谷
cap,帽子
capability,能力
capable,有能力的
capacity,容量
cape,披肩
capital,資本
capitalize,利用
capsule,膠囊
captain,隊長
caption,標題
captive,俘虜
capture,捕捉
car,汽車
carbon,碳
card,卡片
cardinal,主要的
care,關心
career,職業
careful,小心的
cargo,貨物
carpenter,木匠
carpet,地毯
carriage,馬車
carrier,運輸工具
carrot,胡蘿蔔
carry,攜帶
cart,推車
cartoon,卡通
carve,雕刻
case,案例
cash,現金
cashier,收銀員
casino,賭場
cast,投
castle,城堡
casual,隨便的
casualty,傷亡
cat,貓
catalog,目錄
catastrophe,災難
catch,捕捉
category,類別
cater,迎合
cathedral,大教堂
catholic,天主教的
cattle,牛
cause,原因
caution,小心
cautious,小心的
cave,洞穴
cavern,大洞穴
cavity,腔
cease,停止
ceiling,天花板
celebrate,慶祝
celestial,天上的
cell,細胞
cellar,地窖
cement,水泥
cemetery,墓地
census,人口普查
cent,分
center,中心
central,中央的
century,世紀
cereal,穀物
ceremony,儀式
certain,確定的
certificate,證書
certify,證明
chain,鏈
chair,椅子
chairman,主席
chalk,粉筆
challenge,挑戰
chamber,房間
champagne,香檳
champion,冠軍
chance,機會
chancellor,總理
change,改變
channel,頻道
chaos,混亂
chapel,小教堂
chapter,章節
character,角色
characteristic,特徵
characterize,描述...的特性
charge,收費
charity,慈善
charm,魅力
chart,圖表
charter,憲章
chase,追逐
chat,聊天
cheap,便宜的
cheat,欺騙
check,檢查
cheek,臉頰
cheer,歡呼
cheese,起司
chef,廚師
chemical,化學的
chemistry,化學
cheque,支票
cherry,櫻桃
chess,西洋棋
chest,胸部
chew,咀嚼
chicken,雞
chief,首領
child,小孩
chill,寒冷
chimney,煙囪
chin,下巴
china,瓷器
chip,晶片
chocolate,巧克力
choice,選擇
choke,窒息
choose,選擇
chop,砍
chord,和弦
chore,雜務
chorus,合唱
christ,基督
christian,基督徒
christmas,聖誕節
chronic,慢性的
chunk,大塊
church,教堂
cigar,雪茄
cigarette,香菸
cinema,電影院
circle,圓
circuit,電路
circular,圓形的
circulate,循環
circumstance,情況
circus,馬戲團
cite,引用
citizen,公民
city,城市
civil,公民的
civilian,平民
civilization,文明
claim,聲稱
clamp,夾子
clap,拍手
clarify,澄清
clarity,清晰
clash,衝突
clasp,扣
class,班級
classic,經典的
classical,古典的
classify,分類
classmate,同學
classroom,教室
clause,條款
claw,爪
clay,黏土
clean,乾淨的
clear,清楚的
clerk,店員
clever,聰明的
click,點擊
client,客戶
cliff,懸崖
climate,氣候
climax,高潮
climb,攀爬
cling,堅持
clinic,診所
clip,夾子
cloak,斗篷
clock,時鐘
close,關閉
closet,衣櫥
cloth,布
clothes,衣服
clothing,衣服
cloud,雲
cloudy,多雲的
club,俱樂部
clue,線索
clumsy,笨拙的
cluster,簇
clutch,抓緊
coach,教練
coal,煤
coalition,聯盟
coarse,粗糙的
coast,海岸
coat,外套
cocaine,古柯鹼
cock,公雞
code,代碼
coffee,咖啡
coffin,棺材
coherent,連貫的
coil,線圈
coin,硬幣
coincide,巧合
coincidence,巧合
coke,可樂
cold,冷
collaborate,合作
collapse,崩潰
collar,衣領
colleague,同事
collect,收集
collection,收藏
collective,集體的
college,大學
collide,碰撞
collision,碰撞
colonel,上校
colonial,殖民的
colony,殖民地
color,顏色
column,專欄
comb,梳子
combat,戰鬥
combination,結合
combine,結合
come,來
comedy,喜劇
comet,彗星
comfort,舒適
comfortable,舒適的
comic,滑稽的
command,命令
commander,指揮官
commemorate,紀念
comment,評論
commerce,商業
commercial,商業的
commission,佣金
commit,承諾
committee,委員會
commodity,商品
common,共同的
commonplace,平凡的
communicate,溝通
communication,溝通
communism,共產主義
community,社區
commute,通勤
compact,緊湊的
companion,同伴
company,公司
comparable,可比較的
compare,比較
compass,指南針
compassion,同情
compatible,相容的
compel,強迫
compensate,補償
compete,競爭
competence,能力
competent,有能力的
competition,競爭
competitive,競爭的
compile,編譯
complain,抱怨
complaint,抱怨
complement,補充
complete,完成
complex,複雜的
complexion,膚色
complicate,使複雜
complicated,複雜的
compliment,讚美
comply,遵守
component,成分
compose,組成
composite,複合的
composition,作文
compound,化合物
prehend,理解
preliminary,初步的
premise,前提
premium,保險費
preparation,準備
prepare,準備
preposition,介系詞
prescribe,開處方
prescription,處方
presence,存在
present,禮物
presentation,演講
preservation,保存
preserve,保存
preside,主持
president,總統
press,按
pressure,壓力
prestige,聲望
presumably,據推測
presume,假設
pretend,假裝
pretext,藉口
pretty,漂亮的
prevail,盛行
prevalent,普遍的
prevent,預防
previous,先前的
prey,獵物
price,價格
prick,刺
pride,驕傲
priest,牧師
primary,主要的
prime,主要的
primitive,原始的
prince,王子
princess,公主
principal,校長
principle,原則
print,列印
prior,優先的
priority,優先權
prison,監獄
prisoner,囚犯
private,私人的
privilege,特權
prize,獎品
probability,機率
probable,可能的
probe,探測
problem,問題
procedure,程序
proceed,繼續
process,過程
procession,隊伍
proclaim,宣布
produce,生產
product,產品
production,生產
productive,多產的
profession,職業
professional,專業的
professor,教授
proficiency,熟練
profile,輪廓
profit,利潤
profound,深奧的
program,程式
progress,進步
progressive,進步的
prohibit,禁止
project,專案
prolong,延長
prominent,傑出的
promise,承諾
promote,促進
prompt,迅速的
pronoun,代名詞
pronounce,發音
pronunciation,發音
proof,證據
propaganda,宣傳
propel,推進
proper,適當的
property,財產
prophet,先知
proportion,比例
proposal,提議
propose,提議
proposition,提議
prose,散文
prosecute,起訴
prospect,前景
prosperity,繁榮
prosperous,繁榮的
protect,保護
protection,保護
protective,保護的
protein,蛋白質
protest,抗議
protocol,協議
proud,驕傲的
prove,證明
provide,提供
province,省
provision,條款
provoke,激怒
prudent,謹慎的
psychiatry,精神病學
psychology,心理學
pub,酒吧
public,公眾的
publication,出版物
publicity,宣傳
publish,出版
pull,拉
pulse,脈搏
pump,幫浦
pumpkin,南瓜
punch,打孔
punctual,準時的
punish,懲罰
punishment,懲罰
pupil,小學生
puppet,木偶
puppy,小狗
purchase,購買
pure,純的
purify,淨化
purple,紫色
purpose,目的
purse,錢包
pursue,追求
pursuit,追求
push,推
put,放
puzzle,拼圖
pyramid,金字塔
qualification,資格
qualify,使具備資格
quality,品質
quantity,數量
quarrel,爭吵
quart,夸脫
quarter,四分之一
queen,女王
queer,奇怪的
quench,解渴
query,疑問
quest,探索
question,問題
questionnaire,問卷
queue,排隊
quick,快的
quiet,安靜的
quilt,棉被
quit,退出
quite,相當
quiver,顫抖
quiz,測驗
quota,配額
quote,引用
rabbit,兔子
race,比賽
racial,種族的
rack,架子
racket,球拍
radar,雷達
radiant,輻射的
radiate,輻射
radiation,輻射
radio,收音機
radioactive,放射性的
radius,半徑
rag,破布
rage,憤怒
raid,襲擊
rail,鐵路
railroad,鐵路
railway,鐵路
rain,雨
rainbow,彩虹
raise,舉起
rake,耙
rally,集會
ram,公羊
range,範圍
rank,等級
rapid,快速的
rare,稀有的
rarely,很少
rat,老鼠
rate,比率
rather,寧願
ratify,批准
ratio,比例
ration,配給
rational,理性的
raw,生的
ray,光線
razor,刮鬍刀
reach,到達
react,反應
read,讀
reader,讀者
readily,容易地
reading,閱讀
ready,準備好的
real,真的
realistic,現實的
reality,現實
realize,了解
realm,領域
reap,收割
rear,後方
reason,理由
reasonable,合理的
reassure,使安心
rebel,反叛者
rebellion,叛亂
recall,回憶
recede,後退
receipt,收據
receive,收到
receiver,接收器
recent,最近的
reception,接待
receptionist,接待員
recession,衰退
recipe,食譜
recipient,接受者
cite,引用
reckless,魯莽的
reckon,認為
reclaim,開墾
recognize,認出
recollect,回憶
recommend,推薦
recommendation,推薦
reconcile,和解
record,記錄
recorder,錄音機
recover,恢復
recovery,恢復
recreation,娛樂
recruit,招募
rectangle,長方形
rectify,糾正
recur,重現
recycle,回收
red,紅色
reduce,減少
reduction,減少
reed,蘆葦
reef,礁
reel,卷軸
refer,參考
reference,參考
refine,提煉
reflect,反射
reflection,反射
reform,改革
refresh,刷新
refreshment,提神飲料
refrigerator,冰箱
refuge,避難所
refugee,難民
refund,退款
refusal,拒絕
refuse,拒絕
refute,駁斥
regard,認為
regarding,關於
regardless,無論如何
regime,政權
region,地區
register,註冊
regret,後悔
regular,規則的
regulate,規範
regulation,規定
rehearsal,排練
reign,統治
rein,韁繩
reinforce,加強
reject,拒絕
rejoice,高興
relate,有關
relation,關係
relationship,關係
relative,親戚
relax,放鬆
relay,轉播
release,釋放
relevant,相關的
reliable,可靠的
reliance,依賴
relief,解脫
relieve,減輕
religion,宗教
religious,宗教的
reluctant,不情願的
rely,依賴
remain,保持
remainder,剩餘物
remark,評論
remarkable,非凡的
remedy,補救
remember,記得
remind,提醒
remote,遙遠的
removal,移除
remove,移除
renaissance,文藝復興
render,使得
renew,更新
rent,租金
repair,修理
pay,支付
repeal,廢除
repeat,重複
repel,擊退
repent,懺悔
repetition,重複
replace,取代
reply,回答
report,報告
reporter,記者
represent,代表
representation,代表
representative,代表
repress,鎮壓
reproach,因...責備
reproduce,繁殖
republic,共和國
republican,共和主義者
reputation,名聲
request,要求
require,需要
requirement,要求
rescue,救援
research,研究
resemble,像
resent,怨恨
reservation,預訂
reserve,保留
reservoir,水庫
reside,居住
residence,住所
resident,居民
resign,辭職
resist,抵抗
resistance,抵抗
resistant,抵抗的
resolute,堅決的
resolution,決心
resolve,解決
resort,度假勝地
resource,資源
respect,尊敬
respectable,可敬的
respectful,恭敬的
respective,個別的
respond,回應
response,回應
responsibility,責任
responsible,負責任的
rest,休息
restaurant,餐廳
restless,焦躁不安的
restore,恢復
restrain,抑制
restraint,抑制
restrict,限制
restriction,限制
result,結果
resume,恢復
retail,零售
retain,保留
retell,複述
retire,退休
retreat,撤退
retroactive,有追溯力的
return,返回
reveal,揭示
revenge,報仇
revenue,收入
reverence,尊敬
reverse,反轉
review,評論
revise,修改
revival,復興
revive,復活
revolt,叛亂
revolution,革命
revolutionary,革命性的
revolve,旋轉
reward,獎勵
rhythm,節奏
rib,肋骨
ribbon,緞帶
rice,米
rich,富有的
rid,擺脫
riddle,謎語
ride,騎
ridge,山脊
ridiculous,荒謬的
rifle,步槍
right,正確的
rigid,僵硬的
rim,邊緣
ring,戒指
riot,暴動
rip,撕
ripe,成熟的
ripple,漣漪
rise,上升
risk,風險
risky,危險的
ritual,儀式
rival,對手
river,河流
road,道路
roar,吼叫
roast,烤
rob,搶劫
robber,搶劫犯
robe,長袍
robot,機器人
rock,石頭
rocket,火箭
rod,桿
role,角色
roll,滾動
romance,浪漫
romantic,浪漫的
roof,屋頂
room,房間
rooster,公雞
root,根
rope,繩子
rose,玫瑰
rot,腐爛
rotate,旋轉
rotation,旋轉
rotten,腐爛的
rough,粗糙的
round,圓的
rouse,喚醒
route,路線
routine,例行公事
row,划船
royal,皇家的
royalty,皇室
rub,摩擦
rubber,橡膠
rubbish,垃圾
rude,粗魯的
rug,地毯
ruin,廢墟
rule,規則
ruler,尺
rumor,謠言
run,跑
rural,鄉村的
rush,衝
rust,生鏽
rusty,生鏽的
sack,麻袋
sacred,神聖的
sacrifice,犧牲
sad,傷心的
saddle,馬鞍
safeguard,保護
safety,安全
sail,航行
sailor,水手
saint,聖人
sake,緣故
salad,沙拉
salary,薪水
sale,拍賣
salesman,推銷員
salmon,鮭魚
salon,沙龍
salt,鹽
salute,敬禮
salvation,救贖
same,相同的
sample,樣品
sanction,制裁
sand,沙子
sandwich,三明治
sane,神智正常的
satellite,衛星
satire,諷刺
satisfaction,滿意
satisfactory,令人滿意的
satisfy,使滿意
saturation,飽和
sauce,醬汁
saucer,茶碟
sausage,香腸
savage,野蠻的
save,拯救
savings,存款
saw,鋸子
say,說
scale,規模
scan,掃描
scandal,醜聞
scar,傷疤
scarce,缺乏的
scare,驚嚇
scarf,圍巾
scarlet,猩紅色的
scatter,分散
scene,場景
scenery,風景
scent,氣味
schedule,行程表
scheme,計畫
scholar,學者
scholarship,獎學金
school,學校
science,科學
scientific,科學的
scientist,科學家
scissors,剪刀
scold,責罵
scope,範圍
score,分數
scorn,輕視
scout,童子軍
scramble,爭奪
scrap,碎片
scrape,刮
scratch,抓
scream,尖叫
screen,螢幕
screw,螺絲
script,劇本
scrutiny,詳細檢查
sculpture,雕塑
sea,海
